,Timestamp,person,department,role,part,purpose,Please upload the STL file of the part you are printing,MaterialOne,MaterialTwo,AmountOne,AmountTwo,time,Cost,printer,machine
1,11,Student,Mechanical,Student Org.,Wind Turbine Blade,WiscWind - Wind Turbine Competition Research,https://drive.google.com/open?id=1YOU968q45hsfrl9z6aZAONrKgMagebfe,PLA,None,20.0,0.0,5:47:00,1.32,Dodo,Ultimaker - Cura
2,14,Student,Mechanical,Research,Aneurysm model,Research project for graduate student,https://drive.google.com/open?id=1AQmFRaGLq_ArAQULxCSLrWZMN3qHXOgx,PVA,None,45.0,0.0,12:19:00,5.85,Kiwi,Ultimaker - Cura
3,17,Student,Mechanical,Student Org.,ASME Design Team,Design Team,https://drive.google.com/open?id=1Z7hWNZatw00Uj7Weq8U4uKVG371UOOD9,PLA,None,7.0,0.0,12:36:00,0.46,Dodo,Ultimaker - Cura
4,21,Student,Biomedical,Class Project,cell holder,"bme design
",https://drive.google.com/open?id=19DFerRu38wlda9WuoQSmrwdRwld5wvsU,PLA,None,48.0,0.0,9:43:00,3.17,Great Auk,Ultimaker - Cura
5,10,Student,Mechanical,Student Org.,A mold piece for a wheel,A mars rover,https://drive.google.com/open?id=1yRZAiQruZBkWBAHKmH-ZdLovrXgZpn0w,PLA,None,127.0,0.0,20:00:00,8.38,Weka,Ultimaker - Cura
6,10,Student,Biomedical,Personal,A form for a vacuum mold,Halloween Costume,https://drive.google.com/open?id=13Z-FHAizqBl_9fkOj43ScNKep8uW2l2E,PLA,None,59.0,0.0,5:04:00,3.89,Rockhopper,Ultimaker - Cura
7,10,Student,Biomedical,Personal,Vacuum Mold Form,Halloween,https://drive.google.com/open?id=1BAcejtjqjxToRGaaMSOGD4CGDL1g5DKR,PLA,None,59.0,0.0,5:04:00,3.89,Yellow-Bellied-Sapsucker,Ultimaker - Cura
8,13,Student,Biomedical,Class Project,Knee Hinge prototype,BME 301,"https://drive.google.com/open?id=1N9kQT6lwaWPRs_2ko_pGTPCI2P2-PdBy, https://drive.google.com/open?id=1oU31yZtagVZFTXFC6Cn7ZUFSuyQgoVNL, https://drive.google.com/open?id=1QqSY6r2iXzPAwoTypUC9InoyPPINoCSh",PLA,None,12.0,0.0,2:55:00,0.79,Kakapo,Ultimaker - Cura
9,13,Student,Biomedical,Class Project,OA Knee Brace,BME Design Project,https://drive.google.com/open?id=1Vn3jCvklYFMWcyvQXrvrES6vzWZKipt0,PLA,None,19.0,0.0,3:49:00,1.25,Great Auk,Ultimaker - Cura
10,16,Student,Other - College of Engineering,Class Project,ME351 project,heat sink air flow,https://drive.google.com/open?id=1ipuBjLhGY65dRdasIOOVr89S50fzR0cg,PLA,None,186.0,0.0,3:41:00,12.4,Yellow-Bellied-Sapsucker,Ultimaker - Cura
11,15,Student,Mechanical,Personal,A figurine for a game,A figurine,https://drive.google.com/open?id=1eO8o3Am1sNyqiXmy82fDRNXLHOnIVtjo,White,None,3.45,0.0,1:33:00,0.52,DapperWren,Form 2 - Preform
12,16,Staff,Mechanical,Research,Heat cloaking research,research,https://drive.google.com/open?id=1xNgmrqA7MHMyP76Cvqk8ydOgUmkE1Bui,White,None,66.47,0.0,6:27:00,9.9,CuddlyTurtle,Form 2 - Preform
13,17,Student,Mechanical,Student Org.,Stand,Clinostat (Insight),https://drive.google.com/open?id=1qE_NRwZFJioxO-HOKnrWifHUF-q2p6CO,PLA,None,45.0,0.0,11:30:00,2.97,Great Auk,Ultimaker - Cura
14,19,Student,ECE,Personal,Me,testing print-yourself for workshop,https://drive.google.com/open?id=1dxn77B5lhP_5C8luEvQRAF3HzNZOKjpZ,White,None,3.33,0.0,1:09:00,0.5,CuddlyTurtle,Form 2 - Preform
15,16,Student,Biomedical,Class Project,Knee hinge preliminary mock up/prototype,BME Design 301,"https://drive.google.com/open?id=1iqhRMA62f_Yjdmtp6jcMwkLcuoL_oz45, https://drive.google.com/open?id=1Urj-6bf3MEkWhA9vNyqMYEjx2uWlPT0T, https://drive.google.com/open?id=1t7A5nLO1c1Uv_1tJCqQO0iCd0mLH7pEu",PLA,None,16.0,0.0,2:40:00,1.06,Kakapo,Ultimaker - Cura
16,10,Student,Biomedical,Class Project,Forceps for BME 301,Class project,"https://drive.google.com/open?id=1Y6dYgM73ZraQx39d2cBB8M7I7G7mh7W4, https://drive.google.com/open?id=19wwwdokjTorrGvtl6fZXjmaZGCG7ZVhd",Durable,None,44.16,0.0,12:02:00,7.95,CarefulShaglet,Form 2 - Preform
17,12,Student,ECE,Personal,I am printing a Nintendo Switch stand,Holding a switch,https://drive.google.com/open?id=14ZLZKCFgQyLHdl2HEmPvUjJKot19ZtQY,PLA,None,220.0,0.0,13:02:00,14.52,Penguin,Ultimaker - Cura
18,13,Staff,Mechanical,Personal,Sheen from jimmy neutron,Showing my brother how 3D printers work and what they're capable of,https://drive.google.com/open?id=1jG06E3m9StVbmegDhsZM5Laze9eUq0HA,PLA,PVA,13.0,14.0,12:38:00,2.68,Weka,Ultimaker - Cura
19,14,Student,Art,Research,A mechanism for a sculptural book project.,Part of my ongoing research into non-linear bookbinding and story telling.,"https://drive.google.com/open?id=1Pglqk1nu_xcnK3_aGuwBnW8y0aaTMKHc, https://drive.google.com/open?id=1k8eIeQ9UialUmg0dSAoXjtxNeDhvgJbU, https://drive.google.com/open?id=1RDfdvm9NEiKR1tYmTNzir_j1HMaIe_Zt, https://drive.google.com/open?id=1lcd87UjRNfBKXHnqvS8ak2qxB6n5K4jt",PLA,PVA,28.0,20.0,1:35:00,4.45,AwesomeEmu,Ultimaker - Cura
20,15,Student,Biomedical,Class Project,A test tube holder for a uniquely shaped test tube.,BME 301,https://drive.google.com/open?id=11SeoE5jaViqB_tYxrrJwThZwUWpG8vMZ,PLA,None,156.0,0.0,15:21:00,10.23,Dodo,Ultimaker - Cura
21,15,Student,Engineering Physics,Personal,Test Stand,Madison Radicals Spring Training,https://drive.google.com/open?id=1Fpn2-FDloAH2Fugf6Nx9aKgMTF3e51_c,ABS,None,68.0,0.0,8:00:00,4.53,Ornimegalonyx,Ultimaker - Cura
22,15,Student,Engineering Physics,Personal,Test Stand,Madison Radicals spring training,https://drive.google.com/open?id=10XqCAMzInbUTTdk-yvvRHibnfVvrkgQp,ABS,None,68.0,0.0,8:00:00,4.53,Ostrich,Ultimaker - Cura
23,16,Student,Mechanical,Research,Blood vessel flow model - Molding Insert,Cardiovascular Fluid Dynamics Lab Research,https://drive.google.com/open?id=10kW1pcDa-QaL3xEEuVivmIXDydexfaBH,PVA,None,38.0,0.0,12:02:00,4.94,Cassowary,Ultimaker - Cura
24,12,Staff,Other - College of Engineering,Personal,gift,gift,https://drive.google.com/open?id=1T91_htL3pMp9Ehcua0Py8FTQRdW1q1sw,Clear,None,117.23,0.0,11:45:00,17.58,AwesomeEmu (Form 2),Form 2 - Preform
25,13,Staff,Other - College of Engineering,Personal,stand,gift,https://drive.google.com/open?id=1Eb3LiasHEbYNhmdlNM_R1czrgg51bS8J,PLA,PVA,30.0,5.0,3:33:00,2.83,Rockhopper,Ultimaker - Cura
26,13,Student,Engineering Physics,Personal,Support Stand,Madison Radicals Spring Training,https://drive.google.com/open?id=1l5LFrJCAeWou2rDBQGov0II6YJIbHKZ6,ABS,None,33.0,0.0,5:09:00,2.2,Ornimegalonyx,Ultimaker - Cura
27,13,Student,Engineering Physics,Personal,Support Stand,Madison Radicals Spring Training,https://drive.google.com/open?id=1kCDttfi1iGc51XoR7I_kvE5njpHmqyaT,ABS,None,33.0,0.0,5:09:00,2.2,Ostrich,Ultimaker - Cura
28,14,Student,Biomedical,Class Project,MTS test adapter,Finger Prostheses Project,https://drive.google.com/open?id=1tiUH8SHCb24cka8nTB1Uhb-QWrTRNb-K,PLA,None,34.0,0.0,3:22:00,2.24,Emu (Ultimaker),Ultimaker - Cura
29,16,Student,Biomedical,Class Project,Knee Hinge design,BME 301 project,"https://drive.google.com/open?id=1YkWV4saQ1BHA25lSN0Oaw4fDKiPKQ703, https://drive.google.com/open?id=1Udb4Ed0ifDrSEVTYOn9iMoOPorm3BXBi, https://drive.google.com/open?id=1cnCCEmLhxgBoLQg4NmvMM0oLwmKhxUIE, https://drive.google.com/open?id=1FW0bUEpE4uMm0mOvj0wIkvINSO0BLcgD",PLA,None,13.0,0.0,3:05:00,0.86,Kakapo,Ultimaker - Cura
30,16,Student,Mechanical,Student Org.,Motor Bracket,Transcend Competition,https://drive.google.com/open?id=1r4MGjjAxRdJETp4ostzDYNy5El-qIwbB,Clear,None,171.36,0.0,13:44:00,25.7,ChivalrousPup,Form 2 - Preform
31,11,Student,Mechanical,Student Org.,Wind Turbine Blade,Testing,https://drive.google.com/open?id=19ZxGzlanaO9O9kgERKyVhGMGlRf2b8J0,PLA,PVA,21.0,19.0,8:58:00,3.86,Penguin,Ultimaker - Cura
32,12,Student,Biomedical,Class Project,Finger Prosthetic Prototype,"BME Design
","https://drive.google.com/open?id=1xeH5ga-GEkvaztVEZxVm1-8ksV7moIjr, https://drive.google.com/open?id=1So-p_T-S_GL3U-dIzNgNXZiQTNb-NAQ6, https://drive.google.com/open?id=1uSdRQYv7u9lZ61GKQsJQtYe4SSXNo5UL",PLA,PVA,9.0,1.0,3:55:00,1.11,Rockhopper,Ultimaker - Cura
33,12,Student,Biomedical,Personal,Vacuum Mold Form,Costume,https://drive.google.com/open?id=1e63LrZeix4dD6oaDw5vptb3qRno5d9Ap,PLA,None,102.0,0.0,11:51:00,6.73,Dodo,Ultimaker - Cura
34,12,Student,Mechanical,Class Project,Powder Carriage,Powder Transportation,https://drive.google.com/open?id=1Hp4oh583TwTrLwMZ8R7dfVoluDMj33JW,PVA,PVA,235.0,14.0,7:42:00,17.33,Yellow-Bellied-Sapsucker,Ultimaker - Cura
35,13,Student,Mechanical,Class Project,Linear bearing Bracket,Mount for a lead screw bearing,"https://drive.google.com/open?id=1aGT_2ihMGa5j3Wzb9Gt4q0NK0z7kk5yj, https://drive.google.com/open?id=1NI5GLxZ08KB_OT0pDaYntYSOe-NaCHf_",PLA,PVA,32.0,9.0,6:22:00,3.28,Weka,Ultimaker - Cura
36,13,Student,Engineering Physics,Personal,Support Stand,Madison Radicals Spring Training,https://drive.google.com/open?id=1io4CeVMB8UlMuRuJV9BwL9aVOz5yv1-U,ABS,None,130.0,0.0,15:36:00,8.67,Ornimegalonyx,Ultimaker - Cura
37,13,Student,Mechanical,Personal,its a ring I'll metal print if this turns out well,personal project/fun idea,https://drive.google.com/open?id=1NDV-TV0aVsEInVm_3wIRd4aiyHuxq8AA,PLA,None,1.0,0.0,0:25:00,0,Kakapo,Ultimaker - Cura
38,14,Student,Biomedical,Class Project,Spring Housing ,Capstone Project,"https://drive.google.com/open?id=1R4qxdM3c6oPwCdopswKGJmW4hDuUcVtX, https://drive.google.com/open?id=1ZZ228EnVHbeZaesJ97KvQtpgZQ142UU5",Tough,None,1.58,0.0,0:38:00,0.28,AwesomeEmu (Form 2),Form 2 - Preform
39,15,Student,Art,Research,Book hinge,A non-linear bookbinding project,"https://drive.google.com/open?id=1MYPZi3X6kohC6N_uY1fWUQym_F4nC-0D, https://drive.google.com/open?id=1kNSesp5DYyYtZWVpJxaZArkzncoKeCrr, https://drive.google.com/open?id=15I0rZdPb0PGI0A7SH6ARbKd6omx2-Qog",Clear,None,14.29,0.0,1:31:00,2.14,CuddlyTurtle,Form 2 - Preform
40,15,Student,Other - College of Engineering,Class Project,A key chain of the maker space logo,Engr 170 project,https://drive.google.com/open?id=11PynI3vmSBgnpfVLNJg9y9VquIumZ1RQ,PLA,None,3.0,0.0,0:29:00,0.2,Kakapo,Ultimaker - Cura
41,15,Student,Other - College of Engineering,Class Project,Keychain,InterEGR 170,https://drive.google.com/open?id=1NtuVhZry6zKpAf9ya1XRgW1VWWDwwicP,PLA,None,3.0,0.0,0:28:00,0.2,Great Auk,Ultimaker - Cura
42,15,Student,Biomedical,Class Project,Makerspace Keychain,Short CAD assignment ,https://drive.google.com/open?id=1f11bSZH2Zz1Ohffu--dIpeEHu5uyl9MB,PLA,None,3.0,0.0,0:29:00,0.2,Emu (Ultimaker),Ultimaker - Cura
43,18,Student,Other - College of Engineering,Research,Mineral Dispenser,Dispensing finely ground minerals into vials.,"https://drive.google.com/open?id=1B7jAr-TVvptdJ6xwMBgc-nYrsoOqIY6G, https://drive.google.com/open?id=15gLRkqmI_5exjyJbkOAIb3lY1_bWhfZj, https://drive.google.com/open?id=10_aOIvJoKcfp5TTIGwpDkNjcxL-gG2O7",PLA,None,96.0,0.0,12:00:00,6.67,Penguin,Ultimaker - Cura
44,18,Student,Engineering Physics,Research,Mineral Dispenser supports,Supporting Mineral Dispenser,https://drive.google.com/open?id=1eA1APAiMW29Ngd83ZSAXO8FXVrWy_pDS,PLA,None,89.0,0.0,2:54:00,5.87,Rockhopper,Ultimaker - Cura
45,18,Student,Engineering Physics,Research,Part of mineral Dispenser,Being a part of the mineral dispenser,https://drive.google.com/open?id=1Het3vaTzEsU2wLsX-Z7ZEcvKVXbKkf-z,PLA,None,66.0,0.0,23:36:00,4.36,Emu (Ultimaker),Ultimaker - Cura
46,21,Staff,ECE,MakerSpace,Thread Guide,"Examples
",https://drive.google.com/open?id=1P2jZ61l6IozGbMq2RzjAo-kXuq07I_Eq,Clear,None,17.0,0.0,2:00:00,2.55,BrainyMouse,Form 2 - Preform
47,21,Staff,ECE,MakerSpace,Thread,Example,https://drive.google.com/open?id=1l7z5vcrwxE__G8OfieP2FQlXYQzx81Er,Flexible,None,17.0,0.0,2:00:00,2.55,BrainyMouse,Form 2 - Preform
48,21,Staff,ECE,MakerSpace,thread,example,https://drive.google.com/open?id=14ngnywTzlE1-iaqlbWXGkQXSGGLXB0Wd,Clear,None,17.0,0.0,2:00:00,2.55,CuddlyTurtle,Form 2 - Preform
49,11,Student,Engineering Physics,Research,Minerals Dispenser,Dispensing minerals,https://drive.google.com/open?id=1Bv-VT-HpeGOQkHkTsJYAsOombymfbMv7,PLA,None,66.0,0.0,23:36:00,4.36,Kiwi,Ultimaker - Cura
50,14,Student,Mechanical,Student Org.,Wind Turbine Blade,Wiscwind Testing,https://drive.google.com/open?id=14eOYti92cm9jZ3s3NJPbk3dMOQzw6UT9,PLA,PVA,21.0,23.0,9:24:00,4.38,Ornimegalonyx,Ultimaker - Cura
51,14,Student,Mechanical,Student Org.,Wind Turbine Blade #2,WiscWind Testing,https://drive.google.com/open?id=1G6YOTDpKSJjAokFnZbAcdWcDieM8-DNQ,PLA,PVA,21.0,23.0,9:24:00,4.38,Kakapo,Ultimaker - Cura
52,16,Student,Mechanical,Research,Petri Dish Holder,Botany department research,"https://drive.google.com/open?id=1qG2xoZv2eS5v2ooOpwnsjg1ie3bcr7N7, https://drive.google.com/open?id=1YmazmWRz9vaexqVyHP2Zpbp8CcKs6AvV",PLA,PVA,32.0,0.0,7:42:00,2.11,Great Auk,Ultimaker - Cura
53,12,Student,Industrial / Manufacturing,Class Project,A Bin for solid block,For ISYE350 - student project,https://drive.google.com/open?id=1fp65k7zLmWus30eDt7Ny01RKD2DFsAzl,PLA,None,15.0,0.0,1:40:00,0,Dodo,Ultimaker - Cura
54,13,Student,Baja Racing,Student Org.,Steering Wheel 2018 Car ,Baja Racing Team through the College of Engineering ,https://drive.google.com/open?id=1GNEGT3-XwnTpn0Tca5bnREmw_-AuzF-S,PLA,None,106.0,0.0,5:47:00,7,Great Auk,Ultimaker - Cura
55,13,Student,Baja Racing,Student Org.,Steering Wheel 2018 car,Baja Racing Auto Team,https://drive.google.com/open?id=1pJay3ZOfL625gVmDr_CVH2DJnk7rZiCx,PLA,None,106.0,0.0,5:47:00,7,Kakapo,Ultimaker - Cura
56,13,Student,Baja racing,Student Org.,Steering Wheel 2018 Car ,Baja Racing Auto Team ,https://drive.google.com/open?id=1gf0IJ-0McWCVD0RTBqmvbs9Ff4NutUCY,PLA,None,123.0,0.0,8:37:00,8.12,Ornimegalonyx,Ultimaker - Cura
57,13,Student,Engineering Physics,Research,Mineral Dispenser (Reprinting),For dispensing finely ground minerals into vials,https://drive.google.com/open?id=1HM27n_o6OfZIw--HBwJWuMXRC1QtzCd-,PLA,PVA,92.0,10.0,14:30:00,7.37,Emu (Ultimaker),Ultimaker - Cura
58,12,Staff,Biomedical,MakerSpace,infill demo for workshop,infill demo for workshop,https://drive.google.com/open?id=1lxQuwrCzvo6vBzGNfOjFPJou4JGmY4F1,PLA,None,7.0,0.0,0:54:00,0.46,Yellow-Bellied-Sapsucker,Ultimaker - Cura
59,13,Staff,Biomedical,MakerSpace,demo for workshop     ,demo for workshop     ,https://drive.google.com/open?id=1Y1hEekEdTbyni-nLsQN6svCMiaCEi4X9,PLA,None,9.0,0.0,1:00:00,0.5,Kiwi,Ultimaker - Cura
60,13,Staff,Biomedical,MakerSpace,demo                        ,demo                       ,https://drive.google.com/open?id=1SIwIjH2jB0_B6Y2oCEC8nUXqs1vghQ-J,PLA,None,12.0,0.0,1:10:00,0.75,Weka,Ultimaker - Cura
